speaker_id,gender,age,dark_bright,rough_smooth,attractive,authoritative,cute,nasal,strong,warm,weak,profession
8725,Male,Adult,Dark,Smooth,Attractive,Authoritative,,,,,,[]
882,Ambiguous,Adult,,,,,,,,,,['Storytelling']
9023,Ambiguous,Adult,,,,,,,Strong,,,['Client and Public Interaction']
p240,Female,Teenager,Bright,Smooth,,,,,,,,[]
p274,Male,Adult,Dark,Rough,,,,,,,,[]
p318,Female,Adult,Dark,,,,,,,,,['Client and Public Interaction']
p336,Female,Teenager,Bright,,,,Cute,,,,,['Client and Public Interaction']
1093,Female,Adult,,,Attractive,,,,,Warm,,['Storytelling']
1182,Male,Teenager,Bright,Smooth,,,Cute,,,,,['Storytelling']
1212,Female,Senior,Dark,,,Authoritative,,,Strong,,,['Diplomacy and Judiciary']
1607,Male,Adult,,,,,,,,,,['Client and Public Interaction']
1769,Male,Adult,,,,,,Nasal,,,,[]
1987,Male,Adult,Dark,Rough,,,,,,,,[]
209,Female,Adult,,,,Authoritative,,,,,,['Storytelling']
227,Female,Teenager,,Smooth,Attractive,,,,,Warm,,['Storytelling']
2299,Male,Adult,Dark,Smooth,,,,,,,,[]
2494,Male,Senior,Dark,,,Authoritative,,,,,,['Diplomacy and Judiciary']
2573,Female,Adult,,,,Authoritative,,,Strong,,,['Diplomacy and Judiciary']
2654,Male,Adult,Bright,,,,,,,Warm,,[]
2790,Female,Adult,,,,,,,,,,[]
3380,Female,Adult,Bright,,,,,Nasal,,,,['Client and Public Interaction']
3923,Male,Adult,Dark,,Attractive,,,,,Warm,,['Storytelling']
4010,Male,Senior,Dark,,,,,,,,,[]
4098,Ambiguous,Teenager,,,,,Cute,,,,,[]
4152,Male,Adult,Dark,,,Authoritative,,,,,,['Client and Public Interaction']
4226,Male,Adult,Dark,Rough,Attractive,Authoritative,,,,,,['Storytelling']
4434,Female,Adult,Dark,,,,,,,,,"['Client and Public Interaction', 'Diplomacy and Judiciary']"
4733,Male,Adult,Dark,,,,,,,Warm,,[]
4899,Female,Teenager,Bright,Smooth,Attractive,,Cute,,,,,[]
5126,Male,Senior,Dark,Rough,Attractive,,,,,Warm,,['Storytelling']
5304,Male,Senior,Bright,Smooth,,,,,,,,['Storytelling']
5588,Female,Adult,,,,,,,,,,['Public Presentation']
5717,Male,Adult,,,,,,,,,,['Storytelling']
5876,Female,Teenager,Bright,Smooth,,,,,,Warm,,[]
606,Male,Adult,Dark,,,,,,,,,[]
6098,Male,Adult,Dark,,,Authoritative,,,,Warm,,['Storytelling']
6115,Male,Adult,,,,,,,,,,['Client and Public Interaction']
6300,Female,Senior,,,,Authoritative,,,,,,[]
636,Female,Senior,,,,,,,,,,[]
637,Male,Senior,Dark,Rough,Attractive,Authoritative,,,Strong,,,"['Public Presentation', 'Storytelling', 'Diplomacy and Judiciary']"
666,Female,Adult,,Rough,,,,,,Warm,,['Client and Public Interaction']
7229,Female,Adult,,,,,,,Strong,,,"['Public Presentation', 'Client and Public Interaction']"
7247,Male,Adult,Bright,,,,,,,,,[]
7384,Female,Teenager,,,,,,,Strong,,,[]
7478,Male,Adult,,,Attractive,,,,,Warm,,"['Storytelling', 'Client and Public Interaction']"
764,Male,Adult,Bright,,,,,,,,,['Public Presentation']
783,Female,Adult,,Smooth,,,,,,,,[]
79,Female,Adult,,Smooth,,,,,,,,[]
8138,Male,Adult,,Rough,Attractive,,,,,,,['Storytelling']
8742,Male,Adult,,,,Authoritative,,Nasal,,,,['Public Presentation']
8887,Male,Teenager,,,,,,,,,,['Client and Public Interaction']
949,Male,Senior,,,,,,,,,,['Client and Public Interaction']
p228,Female,Teenager,,,,,,,,Warm,,['Client and Public Interaction']
p244,Ambiguous,Teenager,,,,,,,,,Weak,[]
p254,Male,Adult,Dark,Rough,,,,,Strong,,,[]
p293,Female,Teenager,,,,,,,,,Weak,[]
p341,Female,Adult,,,,,,,,,,['Client and Public Interaction']
16,Ambiguous,Teenager,Bright,Smooth,,,Cute,,,,,[]
1603,Male,Adult,,,,,,,,,,[]
1849,Male,Adult,,,,,,,,,,[]
2010,Female,Senior,,,,,,,Strong,,,['Diplomacy and Judiciary']
2127,Male,Adult,Dark,,Attractive,,,,Strong,Warm,,['Storytelling']
2156,Male,Senior,,,,Authoritative,,,Strong,,,"['Public Presentation', 'Storytelling']"
2598,Female,Senior,,,,,,,,Warm,,['Storytelling']
2652,Ambiguous,Teenager,,,,,,Nasal,,,,[]
278,Female,Senior,Dark,,,,,,Strong,,,['Diplomacy and Judiciary']
28,Female,Adult,,,,,,,,,,['Storytelling']
2812,Ambiguous,Teenager,Bright,Smooth,Attractive,,,,,,,"['Storytelling', 'Client and Public Interaction']"
2823,Male,Adult,Dark,,,,,,,,,[]
3082,Male,Adult,,,,,,,,,,[]
3094,Female,Senior,,,,Authoritative,,,,,,['Storytelling']
3180,Male,Adult,,,,,,,,,Weak,['Client and Public Interaction']
353,Male,Adult,Dark,Smooth,,,,,,Warm,,[]
3876,Female,Adult,Bright,,,,,Nasal,,,,[]
3945,Male,Teenager,,,,,,Nasal,,,Weak,['Client and Public Interaction']
4331,Female,Adult,,Smooth,,,,,,,,"['Storytelling', 'Client and Public Interaction']"
4356,Female,Teenager,Bright,,,,Cute,,,,,['Storytelling']
4973,Ambiguous,Adult,Bright,,,,,,,Warm,,"['Storytelling', 'Client and Public Interaction']"
5092,Male,Adult,Dark,,,,,,,,Weak,[]
511,Male,Adult,Dark,,Attractive,,,,,,,['Public Presentation']
5206,Male,Adult,Dark,,,,,,,,,['Public Presentation']
5618,Female,Senior,Bright,,,,,,,,,[]
6371,Female,Teenager,Bright,Smooth,,,Cute,,,,,"['Public Presentation', 'Storytelling']"
6446,Male,Senior,Dark,,,,,,,Warm,,"['Public Presentation', 'Storytelling']"
6510,Male,Senior,,Smooth,,,,,,Warm,,['Storytelling']
7000,Male,Adult,,,Attractive,,,,,,,"['Storytelling', 'Client and Public Interaction']"
7030,Male,Adult,,,,,,,,,,[]
708,Male,Adult,,,,,,Nasal,,,,[]
7134,Male,Adult,,,Attractive,,,,,Warm,,[]
7495,Female,Teenager,,,,,,,,,,[]
7538,Male,Adult,,,,,,,Strong,,,"['Public Presentation', 'Storytelling']"
7956,Male,Adult,Dark,Rough,,,,,,,Weak,[]
7995,Female,Senior,,Smooth,Attractive,,,,,Warm,,['Storytelling']
8006,Male,Senior,Dark,Rough,,Authoritative,,,,Warm,,['Storytelling']
8190,Female,Adult,,,,,,,Strong,,,[]
850,Male,Adult,Dark,,,,,,,,,[]
8573,Female,Teenager,,,,,,,,,,[]
8575,Male,Teenager,,,,,,,,,,['Client and Public Interaction']
868,Male,Adult,Dark,,,,,,,,,[]
8879,Male,Senior,,,,Authoritative,,,,,,['Public Presentation']
9022,Female,Adult,,,,,,,,,,['Storytelling']
953,Male,Senior,Dark,,Attractive,Authoritative,,,,Warm,,[]
p256,Male,Adult,Dark,Rough,,,,,,Warm,,['Storytelling']
p265,Ambiguous,Teenager,,,,,,,,,,[]
p280,Female,Teenager,,,,,,,,,,[]
p282,Female,Teenager,,,,,,,,,,[]
p345,Male,Adult,Dark,,,,,,,,,[]
100,Female,Teenager,Bright,Smooth,,,Cute,,,,,[]
1264,Male,Adult,,,,,,,,,,[]
1827,Male,Senior,Dark,,,Authoritative,,,Strong,,,['Diplomacy and Judiciary']
1913,Male,Adult,,,,,,,,,,[]
1961,Female,Adult,Bright,,,,,,,Warm,,['Client and Public Interaction']
2162,Male,Adult,,,,,,,,,,[]
240,Male,Adult,,Smooth,,,,,,Warm,,['Client and Public Interaction']
2589,Male,Adult,Dark,,,Authoritative,,,Strong,,,"['Public Presentation', 'Storytelling']"
2688,Male,Adult,,,,,,,,Warm,,['Client and Public Interaction']
2741,Female,Teenager,Bright,,,,,,,Warm,,['Client and Public Interaction']
2774,Male,Adult,,,,,,,,,,['Public Presentation']
2853,Female,Adult,,,Attractive,Authoritative,,,,,,['Client and Public Interaction']
3009,Male,Senior,,Smooth,,,,,,,,[]
303,Male,Adult,,,,,,,,Warm,,['Storytelling']
3032,Male,Adult,Bright,,,Authoritative,,,Strong,,,"['Public Presentation', 'Diplomacy and Judiciary']"
359,Male,Senior,,,,,,,,,,['Client and Public Interaction']
3703,Female,Senior,,,,,,,,,,['Client and Public Interaction']
3717,Male,Senior,,,,,,,,Warm,,['Storytelling']
409,Male,Adult,,,,,,,,,,['Storytelling']
4236,Male,Teenager,,Rough,,,,,,,,['Client and Public Interaction']
459,Male,Adult,Dark,Rough,,,,,,,,['Storytelling']
492,Male,Teenager,,,,,Cute,,,,,[]
5029,Female,Teenager,Bright,Smooth,Attractive,,Cute,,,,,"['Storytelling', 'Client and Public Interaction']"
5054,Female,Adult,,,,Authoritative,,,Strong,,,"['Public Presentation', 'Diplomacy and Judiciary']"
5115,Female,Adult,,Rough,,,,,,,,[]
5333,Male,Adult,,,,,,,,,,['Public Presentation']
548,Male,Adult,,,,,,,,,,[]
5622,Female,Teenager,Bright,Smooth,,,Cute,,,,,['Client and Public Interaction']
5723,Female,Senior,,Smooth,,,,,,Warm,,['Storytelling']
580,Male,Adult,Dark,,,,,,,,,[]
6139,Ambiguous,Senior,,,,,,,,,,['Storytelling']
6160,Female,Adult,,Smooth,Attractive,,,,,,,"['Storytelling', 'Client and Public Interaction']"
6519,Female,Senior,Bright,,,,,,,,,[]
6694,Male,Adult,Dark,,Attractive,,,,,Warm,,['Storytelling']
7069,Male,Senior,Dark,Smooth,Attractive,,,,,,,['Storytelling']
7128,Male,Senior,,Rough,,,,,,,,[]
7297,Ambiguous,Adult,,Smooth,,,,,,,,['Client and Public Interaction']
7704,Male,Adult,Dark,,,,,,,,,[]
7733,Female,Adult,,,,,,,,,,[]
7828,Male,Senior,Dark,,,,,,Strong,,,['Storytelling']
7832,Male,Senior,Dark,,,,,,,,,[]
7926,Male,Adult,,,,,,,Strong,,,['Public Presentation']
8771,Ambiguous,Teenager,Bright,Smooth,,,Cute,,,,,[]
8820,Male,Adult,,Smooth,,,,,,,,['Client and Public Interaction']
p229,Female,Teenager,,,,,,,,,,['Client and Public Interaction']
p250,Ambiguous,Teenager,,,,,,,,,,[]
p257,Female,Adult,,,,,,,,,,['Client and Public Interaction']
p281,Male,Senior,Dark,,,,,,,,Weak,[]
p304,Male,Adult,,,,,,,,,,['Client and Public Interaction']
p305,Female,Teenager,Bright,Rough,,,Cute,,,,,[]
1241,Female,Adult,,Smooth,,,,,,,,[]
1401,Male,Adult,Bright,,,,,,,,,['Client and Public Interaction']
1724,Female,Adult,,,,,,,,Warm,,['Storytelling']
1740,Ambiguous,Adult,,,,,,,,Warm,,[]
1789,Male,Senior,,Smooth,Attractive,,,,,Warm,,['Storytelling']
1885,Female,Teenager,Bright,,,,,,,,,[]
2053,Male,Adult,,Rough,,,,,,,,[]
2060,Female,Senior,,,,,,,,,,[]
2397,Male,Senior,Dark,,,,,,Strong,,,['Storytelling']
249,Male,Adult,,,,,,,,,,['Client and Public Interaction']
2758,Ambiguous,Teenager,Bright,,,,Cute,,,,,['Client and Public Interaction']
2920,Female,Adult,,,,Authoritative,,,,,,['Public Presentation']
3105,Male,Senior,Dark,,,,,,,Warm,,"['Public Presentation', 'Storytelling']"
323,Female,Senior,,,,,,,,,,['Client and Public Interaction']
3389,Male,Adult,,Rough,,,,Nasal,,,,['Client and Public Interaction']
3513,Female,Adult,Bright,Smooth,,,,,,,,['Client and Public Interaction']
3521,Male,Adult,,Smooth,,,,,,,,[]
3979,Female,Adult,,,,,,,,Warm,,[]
4057,Female,Adult,Bright,,,,,Nasal,,,,['Client and Public Interaction']
4519,Female,Senior,,,,,,,,Warm,,[]
4734,Male,Adult,,Smooth,,,,,,,,['Client and Public Interaction']
4744,Ambiguous,Adult,,,Attractive,,,,,,,['Storytelling']
479,Ambiguous,Teenager,Bright,Smooth,,,Cute,,,,,[]
4854,Male,Adult,Dark,,,,,,,,,['Storytelling']
512,Male,Adult,,,,Authoritative,,,Strong,,,"['Public Presentation', 'Diplomacy and Judiciary']"
56,Female,Adult,Bright,Smooth,Attractive,,,,,,,"['Storytelling', 'Client and Public Interaction']"
5660,Female,Adult,,,,,,,,Warm,,"['Storytelling', 'Client and Public Interaction']"
589,Female,Teenager,Bright,Smooth,,,,,,,Weak,[]
6188,Female,Adult,,Smooth,Attractive,,,,,,,[]
6567,Female,Adult,,Smooth,,,,,,,,['Storytelling']
6574,Male,Senior,Dark,,,,,,,Warm,,[]
6637,Ambiguous,Adult,,,,,,,,,,[]
6788,Female,Senior,Bright,Rough,,,,,,Warm,,"['Storytelling', 'Client and Public Interaction']"
6828,Female,Adult,Bright,,,,,,,,,[]
6924,Ambiguous,Adult,,Smooth,,,,,,,,"['Storytelling', 'Client and Public Interaction']"
7145,Female,Adult,,,Attractive,,,,,Warm,,"['Storytelling', 'Client and Public Interaction']"
718,Male,Adult,Dark,,,,,,Strong,,,[]
7188,Ambiguous,Senior,Bright,,,,,,,Warm,Weak,[]
7752,Female,Teenager,Bright,,Attractive,,Cute,,,,,['Client and Public Interaction']
7777,Male,Adult,Dark,,,,,,Strong,,,['Storytelling']
8459,Male,Adult,,,Attractive,,,,,Warm,,"['Public Presentation', 'Storytelling']"
8474,Male,Adult,,Rough,,,,,,,,[]
8498,Male,Adult,Dark,,,Authoritative,,,Strong,,,['Storytelling']
8643,Male,Senior,Dark,,,,,,,Warm,,['Storytelling']
8677,Female,Adult,,,,Authoritative,,,,,,[]
p279,Male,Adult,Dark,,,Authoritative,,,,,,[]
p298,Male,Teenager,,,,,,,,,,['Client and Public Interaction']
p307,Female,Teenager,Bright,,,,,,,,,[]
p308,Ambiguous,Teenager,,,,,,,,,Weak,[]
p374,Male,Adult,,Rough,,,,,,,,[]
1060,Female,Adult,,Smooth,Attractive,,,,,,,"['Storytelling', 'Client and Public Interaction']"
119,Ambiguous,Adult,,,,,,,,,,['Public Presentation']
122,Male,Teenager,Bright,,,,,,,,Weak,[]
1323,Ambiguous,Adult,,,,,,Nasal,,,,['Client and Public Interaction']
1547,Ambiguous,Adult,,,,,,,,,,['Client and Public Interaction']
1914,Male,Senior,Dark,Rough,,Authoritative,,,Strong,,,"['Public Presentation', 'Storytelling']"
2149,Male,Adult,,,,,,,,,,['Storytelling']
2230,Female,Adult,,Smooth,,Authoritative,,,,,,"['Public Presentation', 'Diplomacy and Judiciary']"
2238,Male,Adult,Dark,Smooth,,,,,,,,['Storytelling']
2269,Female,Adult,,,,,,Nasal,,,,['Client and Public Interaction']
2272,Male,Adult,Dark,,,Authoritative,,,Strong,,,['Diplomacy and Judiciary']
3025,Female,Senior,,,,,,,Strong,,,['Diplomacy and Judiciary']
3328,Male,Adult,,Rough,,Authoritative,,,,,,['Storytelling']
3368,Male,Adult,,Rough,,,,,,,,[]
3792,Male,Adult,Dark,Smooth,,,,,,,,['Storytelling']
3825,Male,Senior,Dark,,,,,,,,,['Storytelling']
4133,Male,Adult,,,,,,Nasal,,,,['Client and Public Interaction']
4138,Female,Teenager,Bright,,,,,,,,,['Client and Public Interaction']
4145,Female,Adult,,,,,,,,,,['Client and Public Interaction']
4278,Male,Adult,,,,,,,,,,[]
4335,Male,Adult,Dark,Rough,,Authoritative,,,Strong,,,['Storytelling']
4427,Female,Senior,,Smooth,Attractive,,,,,Warm,,"['Storytelling', 'Client and Public Interaction']"
549,Ambiguous,Teenager,,Smooth,,Authoritative,,,,,,[]
596,Female,Adult,Dark,Smooth,,,,,,Warm,,['Storytelling']
597,Female,Adult,Bright,,,,,,,,,"['Public Presentation', 'Client and Public Interaction']"
6233,Ambiguous,Adult,,,,Authoritative,,,,,,['Storytelling']
6317,Female,Teenager,Bright,Smooth,,,Cute,,,,,['Client and Public Interaction']
6426,Female,Adult,,Smooth,,,,,Strong,,,['Storytelling']
6494,Male,Adult,,Rough,,,,,,,,[]
6550,Male,Adult,,,,,,,,,,['Client and Public Interaction']
7085,Female,Senior,,Smooth,,,,,,,,[]
7276,Female,Adult,,Smooth,,,,,,,,[]
7286,Ambiguous,Adult,,Smooth,,Authoritative,,,,,,[]
7416,Female,Adult,,,,,,,,,,['Client and Public Interaction']
7594,Female,Adult,,Smooth,Attractive,,,,,,,"['Client and Public Interaction', 'Diplomacy and Judiciary']"
7717,Female,Senior,,Smooth,,Authoritative,,,,,,['Diplomacy and Judiciary']
7957,Male,Adult,,,,Authoritative,,,Strong,,,['Public Presentation']
8194,Female,Adult,,,Attractive,,,,,,,['Storytelling']
8266,Male,Adult,,Smooth,,,,,Strong,,,['Diplomacy and Judiciary']
8396,Male,Adult,,,Attractive,,,,,Warm,,"['Storytelling', 'Client and Public Interaction']"
8506,Female,Adult,,Smooth,,,,,,,,[]
93,Female,Adult,,,,,,,,,,[]
p231,Ambiguous,Teenager,,,,,,,,,,[]
p232,Male,Adult,,Rough,,,,,,,,[]
p238,Female,Adult,Bright,,,,Cute,,,,,['Client and Public Interaction']
p248,Female,Adult,,,,,,,,,,['Client and Public Interaction']
p276,Female,Teenager,,,Attractive,,Cute,,,,,['Client and Public Interaction']
p278,Male,Adult,Dark,,,,,,,,,['Client and Public Interaction']
p303,Female,Teenager,Bright,,,,Cute,,,,,[]
p326,Male,Adult,Dark,Rough,,,,,,,,[]
1271,Male,Adult,Dark,,Attractive,,,,,,,[]
1446,Male,Adult,Dark,,,,,,,,,['Storytelling']
1460,Female,Adult,,,,,,,,,,['Client and Public Interaction']
1463,Female,Teenager,Bright,,,,Cute,,,,,['Client and Public Interaction']
1482,Male,Adult,,,,,,,,,,['Storytelling']
1668,Female,Teenager,Bright,Smooth,Attractive,,Cute,,,,,['Client and Public Interaction']
1903,Male,Adult,,Smooth,,,,Nasal,,Warm,,[]
2045,Male,Adult,,,,,,,Strong,,,['Public Presentation']
2110,Male,Adult,Bright,,,,,,,,,[]
2628,Male,Adult,Dark,,,Authoritative,,,,,,"['Public Presentation', 'Diplomacy and Judiciary']"
2751,Ambiguous,Teenager,Bright,,,,Cute,,,,,['Client and Public Interaction']
2787,Male,Adult,,,,,,,Strong,,,"['Public Presentation', 'Client and Public Interaction']"
3008,Ambiguous,Adult,,,,,,,,,,['Public Presentation']
3114,Male,Adult,,,,,,,,,,['Client and Public Interaction']
3330,Female,Senior,,,,,,,,,,[]
339,Female,Adult,,,Attractive,,,,,,,['Storytelling']
3446,Female,Teenager,Bright,,,,,,,,,[]
3493,Female,Senior,,Smooth,,,,,Strong,,,['Public Presentation']
3654,Male,Adult,,,,,,,,Warm,,[]
3816,Ambiguous,Adult,,,,,,Nasal,,,,['Client and Public Interaction']
4110,Male,Adult,,Smooth,,,,,,,,[]
4837,Female,Senior,,,,Authoritative,,,,,,['Diplomacy and Judiciary']
4839,Female,Adult,,,,,,,,,,['Client and Public Interaction']
5809,Ambiguous,Adult,,,,,,,,,Weak,[]
581,Male,Adult,,,,,,,,,,['Diplomacy and Judiciary']
6497,Male,Senior,,,,Authoritative,,,,Warm,,['Storytelling']
6937,Ambiguous,Adult,,Rough,,,,,,,,['Storytelling']
7090,Male,Adult,Dark,,,,,,,Warm,,['Storytelling']
711,Male,Adult,Dark,,,,,,,,,['Storytelling']
7245,Ambiguous,Adult,,,,,,,,,,[]
7383,Ambiguous,Adult,,,,,,,,,,[]
7833,Male,Adult,,Rough,,,,,,,,[]
7881,Male,Adult,,,,,,,,,,[]
7967,Female,Senior,,,,,,,,,,['Client and Public Interaction']
8011,Male,Adult,,,,,,,,Warm,,"['Storytelling', 'Client and Public Interaction']"
8057,Female,Adult,,,,,,,,,,['Public Presentation']
806,Male,Adult,,,,,,,,,,"['Public Presentation', 'Storytelling']"
8118,Female,Adult,,Smooth,,,,,,,,['Public Presentation']
8404,Female,Adult,,,Attractive,,,,,,,['Client and Public Interaction']
8479,Male,Adult,,,,Authoritative,,,,,,[]
8713,Male,Senior,,,,,,,,,,[]
p234,Female,Adult,,,,,,,,,Weak,[]
p255,Ambiguous,Teenager,,Rough,,,,,,,Weak,[]
p262,Female,Adult,,,Attractive,,,,,,,[]
p271,Male,Adult,,,,,,,,,Weak,['Client and Public Interaction']
p275,Male,Adult,,,,,,,,,Weak,[]
p284,Male,Adult,,Rough,,,,,,,,[]
p294,Female,Adult,,Rough,,,,,,,,[]
p311,Male,Adult,Dark,,,,,,,,,[]
p330,Female,Adult,,Smooth,,,,,,,Weak,[]
1018,Male,Adult,,,,,,,,,,['Client and Public Interaction']
1641,Ambiguous,Adult,Bright,,,,,,,,,[]
1923,Female,Senior,,,,,,,,,,[]
2093,Male,Adult,,,,,,,,,,['Client and Public Interaction']
2285,Male,Adult,,Smooth,,,,,,,,[]
246,Female,Adult,,,,Authoritative,,,,,,"['Client and Public Interaction', 'Diplomacy and Judiciary']"
2582,Female,Teenager,Bright,,Attractive,,,,,,,['Client and Public Interaction']
2929,Male,Adult,,Rough,,,,,,,,[]
3157,Female,Adult,,,,,,,,,,[]
3540,Male,Adult,,,,,,,,,,['Public Presentation']
4111,Female,Teenager,Bright,Smooth,Attractive,,Cute,,,,,[]
4806,Male,Adult,,,Attractive,,,,,,,['Public Presentation']
4860,Male,Adult,Dark,,,,,,,,,['Storytelling']
497,Male,Adult,,Rough,,,,,,,,[]
5246,Male,Adult,,,Attractive,,,,,,,['Storytelling']
5293,Male,Adult,,,Attractive,,,,,,,['Storytelling']
5724,Female,Adult,,,Attractive,,,,,,,['Storytelling']
5746,Male,Adult,,,,,,,,,,['Storytelling']
6082,Female,Adult,,Smooth,,,,,,,,['Storytelling']
6120,Female,Adult,,Smooth,Attractive,,,,,,,"['Storytelling', 'Client and Public Interaction']"
6341,Female,Adult,,,,,,,,,,['Storytelling']
6499,Male,Senior,,Smooth,,,,,,Warm,,[]
6555,Male,Adult,,,,,,,,,,[]
6727,Male,Adult,,,,,,,,,,"['Public Presentation', 'Storytelling']"
6981,Male,Adult,,,,Authoritative,,,Strong,,,['Public Presentation']
7095,Male,Adult,,,,Authoritative,,,,,,[]
7395,Female,Senior,,,,Authoritative,,,,,,['Public Presentation']
7475,Male,Adult,Dark,,,,,,,,,[]
7481,Ambiguous,Adult,,,,,,,,,Weak,[]
7647,Male,Adult,,,,Authoritative,,,,,,['Public Presentation']
7766,Female,Senior,,Smooth,,,,,,Warm,,['Storytelling']
7802,Female,Adult,,,,,,,,,,[]
7874,Male,Senior,Dark,,,,,,,Warm,,['Storytelling']
7991,Male,Teenager,,Rough,,,,,,,Weak,[]
8142,Male,Adult,,,,,,,,,,['Public Presentation']
8176,Male,Adult,,Rough,,,,,,,,['Public Presentation']
8222,Male,Adult,Dark,,,Authoritative,,,,,,[]
8300,Female,Senior,,Smooth,,,,,,Warm,,['Storytelling']
8635,Male,Adult,,,,,,,,,,[]
948,Female,Adult,,,,,,,,,,['Storytelling']
p243,Male,Adult,Dark,,,,,,,,,[]
p251,Male,Senior,,,,,,Nasal,,,Weak,[]
p252,Male,Adult,,,,,,,,,,['Client and Public Interaction']
p270,Male,Adult,Dark,,,,,,,,,[]
p272,Male,Adult,,,,,,,,,,['Client and Public Interaction']
p317,Female,Teenager,Bright,,,,Cute,,,,Weak,[]
p329,Female,Teenager,,,,,,,,,Weak,[]
p333,Female,Adult,Bright,Rough,,,,,,,Weak,['Client and Public Interaction']
p347,Male,Adult,,,,,,,,,Weak,[]
p361,Female,Adult,Bright,,,,,,,,,['Client and Public Interaction']
1027,Male,Adult,Dark,,Attractive,,,,Strong,Warm,,"['Public Presentation', 'Storytelling']"
1053,Ambiguous,Adult,,,,,,,,,,['Client and Public Interaction']
1066,Female,Senior,Dark,,,Authoritative,,,,Warm,,[]
115,Female,Teenager,Bright,,,,Cute,,,,,[]
1259,Female,Adult,,,,,,,,,,['Storytelling']
1556,Ambiguous,Senior,,,,,,,,Warm,,[]
1777,Male,Adult,Dark,,,Authoritative,,,,Warm,,"['Storytelling', 'Diplomacy and Judiciary']"
1826,Male,Adult,,,,,,,,,,[]
1874,Male,Senior,,,,,,,,,,[]
2061,Female,Adult,Dark,Smooth,Attractive,Authoritative,,,,,,['Storytelling']
2709,Female,Adult,,,,Authoritative,,,,,,['Diplomacy and Judiciary']
3274,Male,Adult,,,,,,,,,,['Client and Public Interaction']
329,Ambiguous,Adult,,,,,,,,,,['Storytelling']
3370,Male,Adult,,,,,,,,,,[]
369,Male,Adult,,,,,,,,Warm,,['Storytelling']
373,Female,Adult,,,,,,,,,,[]
4222,Female,Senior,,,,,,,,,,[]
4289,Female,Senior,,Smooth,,,,,,Warm,,[]
4438,Male,Adult,Dark,,,,,,,,,['Storytelling']
4586,Ambiguous,Teenager,,,,,,,,,Weak,[]
4590,Male,Adult,,,,,,,,,,[]
